learning_rate,weight_decay,dropout_prob,epoch,train_loss,train_accuracy,valid_loss,valid_accuracy
1e-05,0.01,0.1,1,1.1378775604951292,0.445237374756237,1.141746625304222,0.58
1e-05,0.01,0.1,2,0.24255633585962,0.9102279604599556,1.816250205039978,0.628
1e-05,0.01,0.1,3,0.051928795989654414,0.9814487929527268,2.1599484980106354,0.636
1e-05,0.01,0.1,4,0.022681906078772043,0.9923256674063614,2.4348124861717224,0.614
1e-05,0.01,0.1,5,0.013317794515941906,0.9956626992132338,2.4317498207092285,0.626
1e-05,0.01,0.3,1,0.009718634319802223,0.9968226750050434,2.526158630847931,0.628
1e-05,0.01,0.3,2,0.0067072876300247825,0.9979238114450945,2.687090277671814,0.626
1e-05,0.01,0.3,3,0.005292599055226522,0.9984281487458813,2.73949271440506,0.624
1e-05,0.01,0.3,4,0.004772033783124369,0.9986719117745948,2.570020854473114,0.648
1e-05,0.01,0.3,5,0.0037713895627240718,0.9988316185865107,2.7220922708511353,0.642
1e-05,0.05,0.1,1,0.003054887813609284,0.9990753816152242,2.997681200504303,0.64
1e-05,0.05,0.1,2,0.0030509115979562205,0.9990249478851456,2.8315176963806152,0.612
1e-05,0.05,0.1,3,0.002416613259785929,0.9993023334005783,2.8432080149650574,0.626
1e-05,0.05,0.1,4,0.0022111364359392225,0.9992687109138592,3.029819667339325,0.622
1e-05,0.05,0.1,5,0.0020225529300229436,0.9994620402124941,2.926275908946991,0.634
1e-05,0.05,0.3,1,0.0020883618343661226,0.9993863896173761,2.923141300678253,0.636
1e-05,0.05,0.3,2,0.0018951816815131572,0.9994116064824154,3.0252793431282043,0.65
1e-05,0.05,0.3,3,0.0021482501248394708,0.9993947952390558,2.9223713278770447,0.638
1e-05,0.05,0.3,4,0.0013580512275150449,0.9995545020509717,2.8564082980155945,0.61
1e-05,0.05,0.3,5,0.001205093139777123,0.99962174702441,3.0272316932678223,0.63
3e-05,0.01,0.1,1,0.006440026720896278,0.9982684419339655,2.6325698494911194,0.612
3e-05,0.01,0.1,2,0.005681489392221696,0.9983440925290834,2.7944602370262146,0.598
3e-05,0.01,0.1,3,0.004345903791527097,0.9987223455046735,2.8678842782974243,0.624
3e-05,0.01,0.1,4,0.0026881731529039814,0.9993191446439379,3.0668246746063232,0.618
3e-05,0.01,0.1,5,0.0037176627683444025,0.9989829197767467,2.700241506099701,0.622
3e-05,0.01,0.3,1,0.0033992483337303937,0.9990165422634658,2.997687876224518,0.622
3e-05,0.01,0.3,2,0.0033157396087597738,0.9989577029117074,3.375430464744568,0.584
3e-05,0.01,0.3,3,0.0030347732254016988,0.999125815345303,3.2561097145080566,0.592
3e-05,0.01,0.3,4,0.003185921027307133,0.9991005984802636,2.7898836731910706,0.636
3e-05,0.01,0.3,5,0.002304734420247297,0.9993695783740165,3.1559935808181763,0.61
3e-05,0.05,0.1,1,0.001866903236714508,0.9994788514558537,3.0571975708007812,0.636
3e-05,0.05,0.1,2,0.0027874163576600513,0.9992266828054603,2.9993185997009277,0.624
3e-05,0.05,0.1,3,0.002000745438175457,0.9994788514558537,2.9922825694084167,0.626
3e-05,0.05,0.1,4,0.001961158926668225,0.9994536345908144,3.2629669308662415,0.622
3e-05,0.05,0.1,5,0.0021483531073460817,0.9993275502656176,2.7308250665664673,0.598
3e-05,0.05,0.3,1,0.002071599917400923,0.999428417725775,2.746638298034668,0.604
3e-05,0.05,0.3,2,0.0012564090266302356,0.999655369511129,3.050961971282959,0.594
3e-05,0.05,0.3,3,0.001736763785611264,0.9995629076726514,3.3537768125534058,0.598
3e-05,0.05,0.3,4,0.002429131696249617,0.9994116064824154,3.348715603351593,0.584
3e-05,0.05,0.3,5,0.0014832514803336573,0.9995713132943312,3.46180921792984,0.604
5e-05,0.01,0.1,1,0.0046622638702898045,0.9987223455046735,3.4066688418388367,0.598
5e-05,0.01,0.1,2,0.003093378515318627,0.9991846546970614,2.7071645259857178,0.596
5e-05,0.01,0.1,3,0.0035982675475981973,0.9990669759935444,3.342969298362732,0.612
5e-05,0.01,0.1,4,0.004120909678917894,0.9989492972900276,2.8903928995132446,0.614
5e-05,0.01,0.1,5,0.0026853039517440408,0.9992687109138592,3.5261329412460327,0.568
5e-05,0.01,0.3,1,0.003199316566015251,0.9992098715621007,3.730108618736267,0.568
5e-05,0.01,0.3,2,0.003762936623232886,0.9989745141550669,3.0457080006599426,0.572
5e-05,0.01,0.3,3,0.0028947401897266556,0.9992098715621007,3.438800811767578,0.588
5e-05,0.01,0.3,4,0.003209453788274579,0.9990921928585839,3.6180443167686462,0.586
5e-05,0.01,0.3,5,0.0034894888647382313,0.9988652410732298,3.6451497077941895,0.588
5e-05,0.05,0.1,1,0.002891809997168175,0.9993275502656176,3.2303266525268555,0.59
5e-05,0.05,0.1,2,0.003687312917019276,0.9990585703718647,3.5655171275138855,0.592
5e-05,0.05,0.1,3,0.003134364375078478,0.9993695783740165,3.269943654537201,0.59
5e-05,0.05,0.1,4,0.00264955239618306,0.9993191446439379,3.1937631964683533,0.57
5e-05,0.05,0.1,5,0.003615420000612407,0.9989492972900276,3.2331143617630005,0.604
5e-05,0.05,0.3,1,0.0018929855036570805,0.9994620402124941,3.657679855823517,0.59
5e-05,0.05,0.3,2,0.0020241142996238804,0.999428417725775,3.9971317052841187,0.6
5e-05,0.05,0.3,3,0.003936701005768005,0.9989408916683478,3.6421300172805786,0.566
5e-05,0.05,0.3,4,0.0020394223882395828,0.9994452289691346,2.9780842661857605,0.566
5e-05,0.05,0.3,5,0.0020442129309966336,0.999428417725775,3.4979695677757263,0.612
